,movie,chapter,character,dialog,movie_number
1055,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Molly Weasley,Ah! Here he is!,2
1056,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Ron Weasley,Mum fancies him.,2
1057,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Photographer,"Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet.",2
1058,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Gilderoy Lockhart,It can't be- Harry Potter?,2
1059,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Photographer,"Harry Potter! Excuse me, madam.",2
1060,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Gilderoy Lockhart,"Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me,… which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving… with my entire collected works, free of charge. Now, ladies?",2
1061,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Molly Weasley,"Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron.",2
1062,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,"I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page.",2
1063,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Ginny Weasley,Leave him alone.,2
1064,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,"Oh look, Potter. You've got yourself a girlfriend.",2
1065,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Now, now Draco, play nicely. Mr. Potter… Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you.",2
1066,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Harry Potter,Voldemort killed my parents. He was nothing more than a murderer.,2
1067,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Hmm. You must be very brave, to mention his name…or very foolish.",2
1068,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Hermione Granger,Fear of a name only increase fear of the thing itself.,2
1069,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"And you must be… Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me see…red hair… vacant expressions… tatty second hand book. You must be the Weasleys.",2
1070,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,"Children, it's mad in here! Let's go outside.",2
1071,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Well, well, well. Weasley senior.",2
1072,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,Lucius.,2
1073,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,"Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.",2
1074,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Arthur Weasley,"We have a very different idea about what disgraces the name of wizard, Malfoy.",2
1075,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Lucius Malfoy,Clearly. Associating with Muggles… and I thought your family could sink no lower. I'll see you at work.,2
1076,Harry Potter and the Chamber of Secrets,Flourish and Blotts,Draco Malfoy,See you at school.,2
1077,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,10:58! Come on! Come on!,2
1078,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,The train will be leaving any moment!,2
1079,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,"Fred, George, Percy you first!",2
1080,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,Okay.,2
1081,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Arthur Weasley,"After you, dear.",2
1082,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Molly Weasley,"Come on, Ginny, we'll get you a seat. Hurry!",2
1083,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Let's go.,2
1084,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Aah!,2
1085,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Whao!,2
1086,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Station guard,Oy! What do you two think you're doing?,2
1087,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Sorry. Lost- lost control of the trolley. Why can't we get through?,2
1088,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,I don't know. The gateway's sealed its self for some reason.,2
1089,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,The train leaves at exactly eleven o'clock. We've missed it!,2
1090,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,"Harry, if we can't get through, maybe Mum and Dad can't get back!",2
1091,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Maybe we should just go and wait by the car.,2
1092,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,The car…,2
1093,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,"Ron, I should tell you, most Muggles aren't accustomed to seeing a flying car.",2
1094,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,"Uh, right. Okay.",2
1095,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Oh no! The Invisibility Booster must be faulty!,2
1096,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,"Well come on, then. Let's go lower. We need to find the train.",2
1097,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Okay.,2
1098,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Now all we need to do is catch up with the train.,2
1099,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,We can't be far behind.,2
1100,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Do you hear that?,2
1101,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,We must be gettin' close.,2
1102,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Hold on…,2
1103,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Aaahhh! Aaahhhh! Aaahhh!,2
1104,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Aaahhh! Aaahhhh! Aaahhh!,2
1105,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,Wha-aahhh!,2
1106,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Harry! Hold on! Take my hand! Hold on!,2
1107,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,I'm trying. Your hand's all sweaty.,2
1108,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Harry Potter,I think we found the train.,2
1109,Harry Potter and the Chamber of Secrets,Flying to Hogwarts,Ron Weasley,Yeah.,2
1110,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Welcome home.,2
1111,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Up! Up!,2
1112,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,It's not working! Ahhhh!,2
1113,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Up! Up! Ron! Mind that tree!,2
1114,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Stop! Stop! Stop! Huh… Aahh!,2
1115,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh!,2
1116,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh-ha-ha! My wand! Look at my wand!,2
1117,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Be thankful it's not your neck.,2
1118,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,What's happening?,2
1119,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,I don't know.,2
1120,Harry Potter and the Chamber of Secrets,Whomping Willow,Whomping Willow,Argg!,2
1121,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh! Ahh! Ahh!,2
1122,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh! Ahh! Ahh!,2
1123,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh! Ahhhh! Ahh!,2
1124,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Aaaahhhh!,2
1125,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Aaaahhhh!,2
1126,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Come on! Go! Fast!,2
1127,Harry Potter and the Chamber of Secrets,Whomping Willow,Harry Potter,Ahh!,2
1128,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,Ahh!,2
1129,Harry Potter and the Chamber of Secrets,Whomping Willow,Ron Weasley,"Scabbers, you OK? The car! …Dad's gonna kill me.",2
1130,Harry Potter and the Chamber of Secrets,Not expelled…today,Harry Potter,"See you, Hedwig. So, a house elf shows up in my bedroom, we can't get through the barrier to platform nine and three-quarters, we almost get killed by a tree… clearly someone doesn't want me here this year.",2
1131,Harry Potter and the Chamber of Secrets,Not expelled…today,Argus Filch,"Well, take a good look lads. This night might well be the last you spend in this castle. Hm. Oh, dear, we are in trouble.",2
1132,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,You were seen by no less than seven Muggles. Do you have any idea how serious this is? You have risked the exposure of our world. Not to mention the damage you inflicted on a Whomping Willow that's been on these grounds since before you were born.,2
1133,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"Honestly, Professor Snape, I think it did more damage to us.",2
1134,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,"Silence! I assure you, that were you in Slytherin, and your fate rested with me, the both of you would be on the train home- tonight. As it is…",2
1135,Harry Potter and the Chamber of Secrets,Not expelled…today,Albus Dumbledore,…They are not.,2
1136,Harry Potter and the Chamber of Secrets,Not expelled…today,Harry Potter,Professor Dumbledore. Professor McGonagall.,2
1137,Harry Potter and the Chamber of Secrets,Not expelled…today,Severus Snape,"Headmaster, these boys have flouted the Decree for the Restriction of Underage Wizardry. As such--",2
1138,Harry Potter and the Chamber of Secrets,Not expelled…today,Albus Dumbledore,"I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action.",2
1139,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"We'll go and get our stuff, then.",2
1140,Harry Potter and the Chamber of Secrets,Not expelled…today,Minerva McGonagall,"What are you talking about, Mr. Weasley?",2
1141,Harry Potter and the Chamber of Secrets,Not expelled…today,Ron Weasley,"You're going to expel us, aren't you?",2
1142,Harry Potter and the Chamber of Secrets,Not expelled…today,Minerva McGonagall,"Not today, Mr. Weasley. But, I must impress on both of you the seriousness of what you have done. I will be writing to your families tonight, and you will both receive detention.",2
1143,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Morning, everyone! Good morning, everyone!",2
1144,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,All,"Good morning, Professor Sprout!",2
1145,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Welcome to Greenhouse Three, Second Years. Now, gather around, everyone. Today, we are going to repot Mandrakes. Who here can tell me the properties of the Mandrake root? Yes, Miss Granger.",2
1146,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Hermione Granger,"Mandrake, or Mandragora, is used to return those who have been Petrified to their original state. It's also quite dangerous. The Mandrake's cry is fatal to anyone who hears it.",2
1147,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Excellent! Ten points to Gryffindor! Now, as our Mandrakes are still only seedlings their cries won't kill you yet. But they could knock you out for several hours, which is why I have given each of you a pair of earmuffs for auditory protection. So, could you please put them on, right away? Quickly! Flaps tight down, and watch me closely. You grasp your Mandrake firmly, you pull it sharply up out of the pot…",2
1148,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,All,Aah! Ooh!,2
1149,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,Got it? And… now you dunk it down into the other pot and pour a little sprinkling of soil to keep him warm.,2
1150,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Neville Longbottom,Uhh…,2
1151,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Uh, Longbottom's been neglecting his earmuffs.",2
1152,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Seamus Finnigan,"No, ma'am, he's just fainted.",2
1153,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Pomona Sprout,"Yes, well, just leave him there. Right! On we go! Plenty of pots to go around. Grasp your Mandrake, and pull it up!",2
1154,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Other,There's Nearly-Headless-Nick!,2
1155,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Nearly Headless Nick,"Hello, Percy. Miss Clearwater.",2
1156,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Percy Weasley,"Hello, Sir Nicholas!",2
1157,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Ron Weasley,"Huhh… Say it, I'm doomed.",2
1158,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Harry Potter,You're doomed.,2
1159,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Collin Creevey,"Hi, Harry!  I'm Colin Creevy! I'm in Gryffindor, too!",2
1160,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Harry Potter,"Oh- Hi, Colin. Nice to meet you.",2
1161,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Dean Thomas,Ron? Is that your owl?,2
1162,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Students,"Ha-ha… Ha, ha.",2
1163,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Ron Weasley,"Bloody bird's a menace. Oh, no!",2
1164,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Seamus Finnigan,"Look, everyone! Weasley's got himself a Howler!",2
1165,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Neville Longbottom,"Go on, Ron. I ignored one from my gran once. It was horrible.",2
1166,Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,Howler,"RONALD WEASLEY! HOW DARE YOU STEAL THAT CAR! I AM ABSOLUTLEY DISGUSTED! YOUR FATHER'S NOW FACING AN INQUIRY AT WORK, AND IT'S ENTIRELY YOUR FAULT! IF YOU PUT ANOTHER TOE OUT OF LINE, WE'LL BRING YOU STRAIGHT HOME! Oh, and Ginny, dear, congratulations on making Gryffindor. Your father and I are so proud. Thhhhbt!",2
1167,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,"Let me introduce you to your new Defense Against the Dark Arts teacher… me! Gilderoy Lockhart, Order of Merlin, Third Class, Honorary Member of the Dark Force Defense League, and five-times winner of Witch Weekly's Most-Charming-Smile Award- but I don't talk about that. I didn't get rid of the Bandon Banshee by smiling at him. Huh, huh, huh… hee, hee… Now- be warned! It is my job to arm you against the foulest creatures known to wizardkind. You may find yourselves facing your worst fears in this room. Know only that no harm can befall you whilst I am here. I must ask you not to scream. It might… provoke them!",2
1168,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Seamus Finnigan,Cornish pixies?,2
1169,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,Freshly caught Cornish pixies!,2
1170,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Seamus Finnigan,"Ha, ha. Ha, ha, ha…",2
1171,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,"Laugh if you will, Mr. Finnigan, but pixies can be devilish tricky little blighters. Let's see what you make of them, ha! Come on now- round them up, round them up, they're only pixies!",2
1172,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Just stay there!,2
1173,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,Ah! Aaah! Aaah! Aah- aah!,2
1174,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,"Hey, get me down!",2
1175,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Hermione Granger,Get off me!,2
1176,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Harry Potter,Stop! Stop! Hold still!,2
1177,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,Peskipiksi pesternomi!,2
1178,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,"Hee, hee, hee!",2
1179,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Yeeee-haw!,2
1180,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Pixie,Wheee!,2
1181,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy Lockhart,I'll ask you three to just nip the rest of them back into their cage!,2
1182,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Ron Weasley,What do we do now?,2
1183,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Hermione Granger,Immobulus!,2
1184,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Neville Longbottom,Why is it always me?,2
1185,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,"I spent the summer devising a whole new Quidditch program. We are gonna train earlier, harder, and longer. What- I don't believe it! Where do you think you're goin', Flint?",2
1186,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Marcus Flint,Quidditch practice.,2
1187,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,I booked the pitch for Gryffindor today.,2
1188,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Marcus Flint,"Easy, Wood. I've got a note.",2
1189,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,Uh-oh. I smell trouble.,2
1190,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Oliver Wood,"“I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.” You've got a new Seeker. Who?",2
1191,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Malfoy?,2
1192,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,That's right. And that's not all that new this year.,2
1193,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,Those are Nimbus Two Thousand and Ones! How did you get those?,2
1194,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Marcus Flint,A gift from Draco's father.,2
1195,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,"You see Weasley, unlike some, my father can afford the best.",2
1196,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Hermione Granger,At least no one on the Gryffindor team had to buy their way in. They got it on pure talent.,2
1197,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,"No one asked your opinion, you filthy little Mudblood!",2
1198,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,"You'll pay for that one, Malfoy. Eat slugs!",2
1199,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Students,"Ha, ha, ha!",2
1200,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,"Ha, ha!",2
1201,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Hermione Granger,"You okay, Ron? Say something!",2
1202,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Other,Ooh! Ugh! Yech!,2
1203,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Collin Creevey,"Wow! Can you turn him around, Harry?",2
1204,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,"No, Colin! Get out of the way! Let's take him to Hagrid's.",2
1205,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,He'll know what to do.,2
1206,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Students,"Ha, ha, ha…",2
1207,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Draco Malfoy,"Ha, ha…",2
1208,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Rubeus Hagrid,"Wo, this calls for a specialist's equipment. Nothin' to do but wait'll it stops, I'm afraid.",2
1209,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Ah! Oh… Okay.,2
1210,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Rubeus Hagrid,"Better out than in. Who's Ron tryin' to curse, anyway?",2
1211,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,"Malfoy. He called Hermione, …um, well, I don't- I don't know exactly what it means.",2
1212,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Hermione Granger,He called me a Mudblood.,2
1213,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Rubeus Hagrid,He did not!,2
1214,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,What's a Mudblood?,2
1215,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Hermione Granger,It means “dirty blood.” Mudblood's a really foul name for someone who is Muggle-born. Someone with non-magic parents. Someone like me. It's not a term one usually hears in civilized conversation.,2
1216,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Rubeus Hagrid,"See, the thing is, Harry, there're some wizards, like the Malfoy family, who think they're better'n everyone else because they're what people call “pure blood.”",2
1217,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,That's horrible!,2
1218,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Ron Weasley,It's disgusting.,2
1219,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Rubeus Hagrid,"And it's codswallop, to boot. “Dirty blood.” Why, there isn't a wizard alive today that's not half blood or less. More ter the point, they've yet to think of a spell that our Hermione can' do. Come here… Don't you think on it, Hermione. Don't you think on it for one minute… eh?",2
1220,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Gilderoy Lockhart,"Harry, Harry, Harry… Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?",2
1221,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Not really.,2
1222,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Gilderoy Lockhart,"Fame is a fickle friend, Harry. Celebrity is as celebrity does. Remember that.",2
1223,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Basilisk,"Come, come, come to me. Come to me!",2
1224,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,What?,2
1225,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Gilderoy Lockhart,Sorry?,2
1226,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,That voice.,2
1227,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Gilderoy Lockhart,Voice?,2
1228,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Didn't you hear it?,2
1229,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Gilderoy Lockhart,"What are you talking about, Harry? I think we're getting a bit a- drowsy. And, Great Scott- no wonder! Look at the time! We've been here nearly four hours! Spooky how the time flies when one's having fun. Heh, heh.",2
1230,Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,Harry Potter,Spooky.,2
1231,Harry Potter and the Chamber of Secrets,Writing on the wall,Basilisk,Blood. I smell blood. Let me rip you. Let me kill you. Kill! Kill!,2
1232,Harry Potter and the Chamber of Secrets,Kill!,Hermione Granger,Harry!,2
1233,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,Did you hear it?,2
1234,Harry Potter and the Chamber of Secrets,Kill!,Ron Weasley,Hear what?,2
1235,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,That voice.,2
1236,Harry Potter and the Chamber of Secrets,Kill!,Hermione Granger,Voice? What voice?,2
1237,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,I heard it first in Lockhart's office. And then again just—,2
1238,Harry Potter and the Chamber of Secrets,Kill!,Basilisk,It's time.,2
1239,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,It's moving. I think it's going to kill.,2
1240,Harry Potter and the Chamber of Secrets,Kill!,Ron Weasley,Kill?,2
1241,Harry Potter and the Chamber of Secrets,Kill!,Hermione Granger,"Harry, wait! Not so fast!",2
1242,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,Strange. I've never seen spiders act like that.,2
1243,Harry Potter and the Chamber of Secrets,Kill!,Ron Weasley,I don't like spiders… What's that?,2
1244,Harry Potter and the Chamber of Secrets,Kill!,Hermione Granger,'The Chamber of Secrets has been opened… enemies the heir… beware.' It's written in blood.,2
1245,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,"Oh, no… It's Filch's cat. It's Mrs. Norris.",2
1246,Harry Potter and the Chamber of Secrets,Kill!,Students,Ahhh! What's that?,2
1247,Harry Potter and the Chamber of Secrets,Kill!,Poppy Pomfrey,Oh!,2
1248,Harry Potter and the Chamber of Secrets,Kill!,Draco Malfoy,"'Enemies of the heir beware!' You'll be next, Mudbloods!",2
1249,Harry Potter and the Chamber of Secrets,Kill!,Argus Filch,"What's going on 'ere? Go on, make way, make way. Potter-- What are you…Mrs. Norris? You've…murdered my cat.",2
1250,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,No. No.,2
1251,Harry Potter and the Chamber of Secrets,Kill!,Argus Filch,I'll kill ya… I'll kill ya!,2
1252,Harry Potter and the Chamber of Secrets,Kill!,Albus Dumbledore,"Argus! Argus, I… Everyone will proceed to their dormitories immediately. Everyone except… you three.",2
1253,Harry Potter and the Chamber of Secrets,Kill!,Other,"Ravenclaws, follow me!",2
1254,Harry Potter and the Chamber of Secrets,Kill!,Albus Dumbledore,"She's not dead, Argus. She has been Petrified.",2
1255,Harry Potter and the Chamber of Secrets,Kill!,Gilderoy Lockhart,"Ah, thought so. So unlucky I wasn't there. I know exactly the counter curse that could have spared her.",2
1256,Harry Potter and the Chamber of Secrets,Kill!,Albus Dumbledore,"But how she has been Petrified, I cannot say…",2
1257,Harry Potter and the Chamber of Secrets,Kill!,Argus Filch,Ask him. It's him who's done it. You saw what he wrote on the wall.,2
1258,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,"It's not true sir, I swear. I never touched Mrs. Norris.",2
1259,Harry Potter and the Chamber of Secrets,Kill!,Argus Filch,Rubbish!,2
1260,Harry Potter and the Chamber of Secrets,Kill!,Severus Snape,"If I might, Headmaster? Perhaps Potter and his friends were simply in the wrong place at the wrong time. However, the circumstances are suspicious. I, for one, don't recall seeing Potter at dinner.",2
1261,Harry Potter and the Chamber of Secrets,Kill!,Gilderoy Lockhart,"I'm afraid that's my doing, Severus. You see, Harry was helping me answer my fan mail.",2
1262,Harry Potter and the Chamber of Secrets,Kill!,Hermione Granger,"That's why Ron and I went looking for him, Professor. We'd just found him when he said…",2
1263,Harry Potter and the Chamber of Secrets,Kill!,Severus Snape,"Yes, Miss Granger?",2
1264,Harry Potter and the Chamber of Secrets,Kill!,Harry Potter,When I said I wasn't hungry. We were heading back to the common room when we found Mrs. Norris.,2
1265,Harry Potter and the Chamber of Secrets,Kill!,Albus Dumbledore,"Innocent until proven guilty, Severus.",2
1266,Harry Potter and the Chamber of Secrets,Kill!,Argus Filch,My cat has been Petrified. I wanna see some punishment!,2
